[12:19:43] Step 30515 | Total: 2.0457 | CDS: 1.8722
[12:19:57] Step 30520 | Total: 2.3634 | CDS: 2.1860
[12:20:11] Step 30525 | Total: 1.9453 | CDS: 1.7990
[12:20:25] Step 30530 | Total: 1.9819 | CDS: 1.8533
[12:20:39] Step 30535 | Total: 2.0385 | CDS: 1.9300
[12:20:53] Step 30540 | Total: 2.0260 | CDS: 1.8707
[12:21:07] Step 30545 | Total: 2.0838 | CDS: 1.9439
[12:21:22] Step 30550 | Total: 2.2647 | CDS: 2.1335
[12:21:36] Step 30555 | Total: 2.5715 | CDS: 2.4356
[12:21:50] Step 30560 | Total: 2.2925 | CDS: 2.1574
[12:22:04] Step 30565 | Total: 1.9065 | CDS: 1.7855
[12:22:18] Step 30570 | Total: 2.0483 | CDS: 1.9261
[12:22:32] Step 30575 | Total: 2.4394 | CDS: 2.3366
[12:22:46] Step 30580 | Total: 2.7992 | CDS: 2.6546
[12:23:00] Step 30585 | Total: 1.9020 | CDS: 1.7563
[12:23:14] Step 30590 | Total: 2.5912 | CDS: 2.4772
[12:23:28] Step 30595 | Total: 1.9102 | CDS: 1.8043
[12:23:42] Step 30600 | Total: 1.9669 | CDS: 1.8129
[12:24:02] 💾 Full checkpoint saved at Epoch 23, Step 30600, Batch 1419
[12:24:17] Step 30605 | Total: 1.8621 | CDS: 1.7249
[12:24:31] Step 30610 | Total: 2.0464 | CDS: 1.8631
[12:24:45] Step 30615 | Total: 2.0444 | CDS: 1.8290
[12:24:59] Step 30620 | Total: 2.0388 | CDS: 1.8999
[12:25:13] Step 30625 | Total: 1.9318 | CDS: 1.8047
[12:25:27] Step 30630 | Total: 2.0899 | CDS: 1.9601
[12:25:41] Step 30635 | Total: 2.2202 | CDS: 1.9982
[12:25:55] Step 30640 | Total: 1.9426 | CDS: 1.8145
[12:26:09] Step 30645 | Total: 2.5303 | CDS: 2.3788
[12:26:23] Step 30650 | Total: 2.1316 | CDS: 1.9941
[12:26:37] Step 30655 | Total: 2.1970 | CDS: 1.9901
[12:26:52] Step 30660 | Total: 1.8432 | CDS: 1.7131
[12:27:06] Step 30665 | Total: 1.8963 | CDS: 1.7653
[12:27:20] Step 30670 | Total: 2.0147 | CDS: 1.9018
[12:27:34] Step 30675 | Total: 2.3897 | CDS: 2.2611
[12:27:48] Step 30680 | Total: 2.4004 | CDS: 2.1671
[12:28:02] Step 30685 | Total: 1.9733 | CDS: 1.8398
[12:28:16] Step 30690 | Total: 1.9175 | CDS: 1.7761
[12:28:30] Step 30695 | Total: 2.5233 | CDS: 2.3638
[12:28:44] Step 30700 | Total: 2.2498 | CDS: 2.1160
[12:28:58] Step 30705 | Total: 2.0214 | CDS: 1.8933
[12:29:12] Step 30710 | Total: 2.0137 | CDS: 1.8893
[12:29:26] Step 30715 | Total: 2.0415 | CDS: 1.8851
[12:29:41] Step 30720 | Total: 2.2049 | CDS: 2.0994
[12:29:55] Step 30725 | Total: 1.9591 | CDS: 1.8288
[12:30:09] Step 30730 | Total: 1.8583 | CDS: 1.7414
[12:30:23] Step 30735 | Total: 2.0123 | CDS: 1.8625
[12:30:37] Step 30740 | Total: 2.0217 | CDS: 1.9180
[12:30:51] Step 30745 | Total: 2.1553 | CDS: 2.0353
[12:31:05] Step 30750 | Total: 2.4963 | CDS: 2.2767
[12:31:25] 💾 Full checkpoint saved at Epoch 23, Step 30750, Batch 2019
[12:31:39] Step 30755 | Total: 2.3533 | CDS: 2.2237
[12:31:53] Step 30760 | Total: 1.9741 | CDS: 1.8477
[12:32:07] Step 30765 | Total: 2.1836 | CDS: 2.0243
[12:32:22] Step 30770 | Total: 1.8431 | CDS: 1.7433
[12:32:36] Step 30775 | Total: 2.5998 | CDS: 2.4387
[12:32:50] Step 30780 | Total: 1.8720 | CDS: 1.7675
[12:33:04] Step 30785 | Total: 2.3130 | CDS: 2.1823
[12:33:18] Step 30790 | Total: 1.9864 | CDS: 1.8938
[12:33:32] Step 30795 | Total: 1.8709 | CDS: 1.7279
[12:33:46] Step 30800 | Total: 2.3815 | CDS: 2.2593
[12:34:00] Step 30805 | Total: 1.9272 | CDS: 1.8173
[12:34:14] Step 30810 | Total: 2.7757 | CDS: 2.6422
[12:34:28] Step 30815 | Total: 2.4106 | CDS: 2.2400
[12:34:42] Step 30820 | Total: 1.9266 | CDS: 1.7660
[12:34:56] Step 30825 | Total: 1.9664 | CDS: 1.8198
[12:35:11] Step 30830 | Total: 2.5607 | CDS: 2.3846
[12:35:25] Step 30835 | Total: 2.1915 | CDS: 2.0341
[12:35:39] Step 30840 | Total: 2.0779 | CDS: 1.9526
[12:35:53] Step 30845 | Total: 2.2536 | CDS: 2.1258
[12:36:07] Step 30850 | Total: 1.9559 | CDS: 1.8419
[12:36:21] Step 30855 | Total: 2.0458 | CDS: 1.9201
[12:36:35] Step 30860 | Total: 1.8847 | CDS: 1.7828
[12:36:49] Step 30865 | Total: 2.1368 | CDS: 1.9474
[12:37:03] Step 30870 | Total: 2.1674 | CDS: 2.0475
[12:37:17] Step 30875 | Total: 2.0384 | CDS: 1.8637
[12:37:31] Step 30880 | Total: 2.6700 | CDS: 2.4602
[12:37:45] Step 30885 | Total: 2.0408 | CDS: 1.8849
[12:38:00] Step 30890 | Total: 2.0420 | CDS: 1.9241
[12:38:14] Step 30895 | Total: 2.6197 | CDS: 2.3866
[12:38:28] Step 30900 | Total: 1.9782 | CDS: 1.8254
[12:38:48] 💾 Full checkpoint saved at Epoch 23, Step 30900, Batch 2619
[12:39:02] Step 30905 | Total: 2.1687 | CDS: 2.0497
[12:39:16] Step 30910 | Total: 2.2126 | CDS: 2.0697
[12:39:30] Step 30915 | Total: 1.9519 | CDS: 1.8361
[12:39:44] Step 30920 | Total: 2.8421 | CDS: 2.6796
[12:39:58] Step 30925 | Total: 2.3199 | CDS: 2.1766
[12:40:12] Step 30930 | Total: 2.1806 | CDS: 2.0191
[12:40:26] Step 30935 | Total: 2.3536 | CDS: 2.2155
[12:40:41] Step 30940 | Total: 2.6279 | CDS: 2.4950
[12:40:55] Step 30945 | Total: 2.0553 | CDS: 1.9098
[12:41:09] Step 30950 | Total: 1.9565 | CDS: 1.8058
[12:41:23] Step 30955 | Total: 2.1349 | CDS: 2.0025
