[07:07:06] Step 7685 | Total: 1.6445 | CDS: 1.3794
[07:07:22] Step 7690 | Total: 1.8358 | CDS: 1.5985
[07:07:39] Step 7695 | Total: 1.5565 | CDS: 1.3879
[07:07:55] Step 7700 | Total: 1.5600 | CDS: 1.2917
[07:08:12] Step 7705 | Total: 2.2186 | CDS: 2.0265
[07:08:29] Step 7710 | Total: 1.4966 | CDS: 1.3150
[07:08:45] Step 7715 | Total: 1.6979 | CDS: 1.4897
[07:09:02] Step 7720 | Total: 1.5259 | CDS: 1.2747
[07:09:18] Step 7725 | Total: 2.2571 | CDS: 2.0160
[07:09:35] Step 7730 | Total: 1.9192 | CDS: 1.6383
[07:09:52] Step 7735 | Total: 1.3909 | CDS: 1.1976
[07:10:08] Step 7740 | Total: 1.4948 | CDS: 1.3312
[07:10:25] Step 7745 | Total: 2.0344 | CDS: 1.8011
[07:10:42] Step 7750 | Total: 1.7173 | CDS: 1.4988
[07:10:58] Step 7755 | Total: 1.9774 | CDS: 1.7260
[07:11:15] Step 7760 | Total: 1.4555 | CDS: 1.2910
[07:11:31] Step 7765 | Total: 1.8370 | CDS: 1.5562
[07:11:48] Step 7770 | Total: 1.5743 | CDS: 1.3896
[07:12:05] Step 7775 | Total: 2.2336 | CDS: 2.0048
[07:12:21] Step 7780 | Total: 1.9404 | CDS: 1.7692
[07:12:38] Step 7785 | Total: 2.1603 | CDS: 1.9346
[07:12:54] Step 7790 | Total: 1.8137 | CDS: 1.6070
[07:13:11] Step 7795 | Total: 1.4239 | CDS: 1.1923
[07:13:28] Step 7800 | Total: 2.1265 | CDS: 1.8584
[07:13:30] 💾 Full checkpoint saved at Epoch 5, Step 7800, Batch 4899
[07:13:47] Step 7805 | Total: 1.3815 | CDS: 1.2186
[07:14:03] Step 7810 | Total: 1.9338 | CDS: 1.6374
[07:14:20] Step 7815 | Total: 1.9385 | CDS: 1.7155
[07:14:36] Step 7820 | Total: 2.1258 | CDS: 1.8899
[07:14:53] Step 7825 | Total: 1.4461 | CDS: 1.2787
[07:15:10] Step 7830 | Total: 1.9745 | CDS: 1.7536
[07:15:26] Step 7835 | Total: 1.5564 | CDS: 1.3445
[07:15:43] Step 7840 | Total: 1.5807 | CDS: 1.2612
[07:15:59] Step 7845 | Total: 1.6631 | CDS: 1.3860
[07:16:16] Step 7850 | Total: 2.4892 | CDS: 2.1823
[07:16:33] Step 7855 | Total: 1.7446 | CDS: 1.5482
[07:16:49] Step 7860 | Total: 1.3925 | CDS: 1.2348
[07:17:06] Step 7865 | Total: 1.8776 | CDS: 1.6353
[07:17:22] Step 7870 | Total: 1.8231 | CDS: 1.5913
[07:17:39] Step 7875 | Total: 1.9339 | CDS: 1.7270
[07:17:56] Step 7880 | Total: 1.5740 | CDS: 1.3320
[07:18:12] Step 7885 | Total: 1.7594 | CDS: 1.4735
[07:18:29] Step 7890 | Total: 1.8359 | CDS: 1.6169
[07:26:18] 📊 Epoch 6 Val: Loss 1.2428
[07:26:20] 💾 Full checkpoint saved at Epoch 6, Step 7890, Batch -1
[07:26:23] 💾 Full checkpoint saved at Epoch 6, Step 7890, Batch -1
[07:26:40] Step 7895 | Total: 2.2856 | CDS: 2.0772
[07:26:56] Step 7900 | Total: 1.5085 | CDS: 1.3319
[07:27:13] Step 7905 | Total: 1.6980 | CDS: 1.4900
[07:27:30] Step 7910 | Total: 1.9468 | CDS: 1.7803
[07:27:46] Step 7915 | Total: 1.7477 | CDS: 1.5277
[07:28:03] Step 7920 | Total: 2.2669 | CDS: 1.9404
[07:28:19] Step 7925 | Total: 1.6837 | CDS: 1.4832
[07:28:36] Step 7930 | Total: 1.4252 | CDS: 1.2566
[07:28:53] Step 7935 | Total: 1.7423 | CDS: 1.4935
[07:29:09] Step 7940 | Total: 1.3694 | CDS: 1.1951
[07:29:26] Step 7945 | Total: 1.5191 | CDS: 1.3088
[07:29:43] Step 7950 | Total: 2.9669 | CDS: 2.6951
[07:29:45] 💾 Full checkpoint saved at Epoch 6, Step 7950, Batch 239
[07:30:02] Step 7955 | Total: 1.6883 | CDS: 1.4680
[07:30:18] Step 7960 | Total: 1.7015 | CDS: 1.4933
[07:30:35] Step 7965 | Total: 1.6016 | CDS: 1.3804
[07:30:51] Step 7970 | Total: 2.6771 | CDS: 2.4686
[07:31:08] Step 7975 | Total: 1.8366 | CDS: 1.5858
[07:31:25] Step 7980 | Total: 1.9322 | CDS: 1.7063
[07:31:41] Step 7985 | Total: 1.5714 | CDS: 1.3900
[07:31:58] Step 7990 | Total: 3.0315 | CDS: 2.7353
[07:32:14] Step 7995 | Total: 2.2461 | CDS: 2.0048
[07:32:31] Step 8000 | Total: 1.8639 | CDS: 1.6384
[07:32:48] Step 8005 | Total: 1.5868 | CDS: 1.3556
[07:33:04] Step 8010 | Total: 2.0362 | CDS: 1.8032
[07:33:21] Step 8015 | Total: 1.5343 | CDS: 1.3649
[07:33:37] Step 8020 | Total: 2.0478 | CDS: 1.7969
[07:33:54] Step 8025 | Total: 2.0513 | CDS: 1.8716
[07:34:11] Step 8030 | Total: 1.9408 | CDS: 1.7243
[07:34:27] Step 8035 | Total: 1.4407 | CDS: 1.2279
[07:34:44] Step 8040 | Total: 1.6554 | CDS: 1.4690
[07:35:00] Step 8045 | Total: 1.4847 | CDS: 1.3060
[07:35:17] Step 8050 | Total: 1.5253 | CDS: 1.3264
[07:35:34] Step 8055 | Total: 1.4395 | CDS: 1.2769
[07:35:50] Step 8060 | Total: 1.6004 | CDS: 1.4186
[07:36:07] Step 8065 | Total: 1.8309 | CDS: 1.5626
[07:36:24] Step 8070 | Total: 1.7425 | CDS: 1.5515
[07:36:40] Step 8075 | Total: 1.4973 | CDS: 1.3408
[07:36:57] Step 8080 | Total: 2.0912 | CDS: 1.8900
[07:37:13] Step 8085 | Total: 1.4935 | CDS: 1.2888
[07:37:30] Step 8090 | Total: 1.6038 | CDS: 1.4545
[07:37:47] Step 8095 | Total: 1.6877 | CDS: 1.3733
[07:38:03] Step 8100 | Total: 1.5795 | CDS: 1.3789
[07:38:06] 💾 Full checkpoint saved at Epoch 6, Step 8100, Batch 839
[07:38:22] Step 8105 | Total: 1.6195 | CDS: 1.3830
[07:38:39] Step 8110 | Total: 1.8428 | CDS: 1.6118
[07:38:55] Step 8115 | Total: 2.2325 | CDS: 1.9544
[07:39:12] Step 8120 | Total: 1.5181 | CDS: 1.3539
[07:39:29] Step 8125 | Total: 1.6012 | CDS: 1.3742
[07:39:45] Step 8130 | Total: 2.7051 | CDS: 2.4469
[07:40:02] Step 8135 | Total: 2.1452 | CDS: 1.8240
[07:40:18] Step 8140 | Total: 1.5369 | CDS: 1.3807
[07:40:35] Step 8145 | Total: 1.8997 | CDS: 1.7102
[07:40:52] Step 8150 | Total: 1.6890 | CDS: 1.4457
[07:41:08] Step 8155 | Total: 2.0871 | CDS: 1.8139
[07:41:25] Step 8160 | Total: 2.2298 | CDS: 2.0367
[07:41:41] Step 8165 | Total: 1.6890 | CDS: 1.4032
[07:41:58] Step 8170 | Total: 2.4213 | CDS: 2.0832
[07:42:15] Step 8175 | Total: 1.7499 | CDS: 1.5374
[07:42:31] Step 8180 | Total: 1.5738 | CDS: 1.3546
[07:42:48] Step 8185 | Total: 1.6473 | CDS: 1.4791
[07:43:04] Step 8190 | Total: 1.6323 | CDS: 1.4237
[07:43:21] Step 8195 | Total: 1.9649 | CDS: 1.7370
[07:43:38] Step 8200 | Total: 1.5739 | CDS: 1.3573
[07:43:54] Step 8205 | Total: 1.6714 | CDS: 1.4541
[07:44:11] Step 8210 | Total: 1.6811 | CDS: 1.4768
[07:44:27] Step 8215 | Total: 2.3744 | CDS: 2.1532
[07:44:44] Step 8220 | Total: 2.1617 | CDS: 1.9155
[07:45:01] Step 8225 | Total: 1.9399 | CDS: 1.6950
[07:45:17] Step 8230 | Total: 1.7133 | CDS: 1.4554
[07:45:34] Step 8235 | Total: 1.4587 | CDS: 1.2660
[07:45:51] Step 8240 | Total: 1.6333 | CDS: 1.4795
[07:46:07] Step 8245 | Total: 2.0190 | CDS: 1.7735
[07:46:24] Step 8250 | Total: 1.8139 | CDS: 1.5603
[07:46:26] 💾 Full checkpoint saved at Epoch 6, Step 8250, Batch 1439
[07:46:43] Step 8255 | Total: 1.6866 | CDS: 1.4156
[07:46:59] Step 8260 | Total: 1.5261 | CDS: 1.3090
[07:47:16] Step 8265 | Total: 1.8026 | CDS: 1.5980
[07:47:33] Step 8270 | Total: 1.7832 | CDS: 1.6280
[07:47:49] Step 8275 | Total: 1.7890 | CDS: 1.5549
[07:48:06] Step 8280 | Total: 1.9761 | CDS: 1.7365
[07:48:22] Step 8285 | Total: 1.7958 | CDS: 1.6207
[07:48:39] Step 8290 | Total: 1.5557 | CDS: 1.3711
[07:48:56] Step 8295 | Total: 2.5893 | CDS: 2.3462
[07:49:12] Step 8300 | Total: 1.6948 | CDS: 1.5211
[07:49:29] Step 8305 | Total: 1.8106 | CDS: 1.6212
[07:49:45] Step 8310 | Total: 2.0927 | CDS: 1.9028
[07:50:02] Step 8315 | Total: 1.5201 | CDS: 1.3091
[07:50:19] Step 8320 | Total: 1.6416 | CDS: 1.4192
[07:50:35] Step 8325 | Total: 1.4395 | CDS: 1.2213
[07:50:52] Step 8330 | Total: 1.9090 | CDS: 1.7144
[07:51:09] Step 8335 | Total: 1.5946 | CDS: 1.4083
[07:51:25] Step 8340 | Total: 2.3980 | CDS: 2.1903
[07:51:42] Step 8345 | Total: 1.5403 | CDS: 1.3659
[07:51:58] Step 8350 | Total: 2.0138 | CDS: 1.7228
[07:52:15] Step 8355 | Total: 1.5533 | CDS: 1.3566
[07:52:32] Step 8360 | Total: 1.5258 | CDS: 1.3972
[07:52:48] Step 8365 | Total: 2.1174 | CDS: 1.9541
[07:53:05] Step 8370 | Total: 2.2196 | CDS: 2.0346
[07:53:21] Step 8375 | Total: 2.0695 | CDS: 1.7392
[07:53:38] Step 8380 | Total: 1.6749 | CDS: 1.4550
[07:53:55] Step 8385 | Total: 1.6471 | CDS: 1.4455
[07:54:11] Step 8390 | Total: 1.9584 | CDS: 1.6521
