[07:32:35] Step 5395 | Total: 2.4890 | CDS: 2.2979
[07:32:51] Step 5400 | Total: 2.3154 | CDS: 2.0928
[07:32:52] 💾 Full checkpoint saved at Epoch 4, Step 5400, Batch 559
[07:33:07] Step 5405 | Total: 2.2446 | CDS: 2.0184
[07:33:22] Step 5410 | Total: 2.7679 | CDS: 2.5474
[07:33:37] Step 5415 | Total: 2.5301 | CDS: 2.3663
[07:33:53] Step 5420 | Total: 2.6625 | CDS: 2.3867
[07:34:08] Step 5425 | Total: 3.0714 | CDS: 2.8466
[07:34:23] Step 5430 | Total: 2.2215 | CDS: 2.0826
[07:34:38] Step 5435 | Total: 2.6489 | CDS: 2.4453
[07:34:53] Step 5440 | Total: 2.2556 | CDS: 2.0357
[07:35:09] Step 5445 | Total: 2.7006 | CDS: 2.3946
[07:35:24] Step 5450 | Total: 2.3891 | CDS: 2.1657
[07:35:39] Step 5455 | Total: 2.3228 | CDS: 2.0564
[07:35:54] Step 5460 | Total: 2.6826 | CDS: 2.4487
[07:36:10] Step 5465 | Total: 2.3900 | CDS: 2.1940
[07:36:25] Step 5470 | Total: 2.2426 | CDS: 2.0765
[07:36:40] Step 5475 | Total: 2.3427 | CDS: 2.1842
[07:36:55] Step 5480 | Total: 2.3344 | CDS: 2.0703
[07:37:10] Step 5485 | Total: 2.8955 | CDS: 2.7250
[07:37:26] Step 5490 | Total: 2.3450 | CDS: 2.1559
[07:37:41] Step 5495 | Total: 3.1871 | CDS: 2.9567
[07:37:56] Step 5500 | Total: 2.2289 | CDS: 2.0045
[07:38:11] Step 5505 | Total: 2.1481 | CDS: 1.9425
[07:38:27] Step 5510 | Total: 3.2722 | CDS: 2.9342
[07:38:42] Step 5515 | Total: 2.2357 | CDS: 2.0356
[07:38:57] Step 5520 | Total: 2.6437 | CDS: 2.4070
[07:39:12] Step 5525 | Total: 2.5519 | CDS: 2.3732
[07:39:27] Step 5530 | Total: 2.3726 | CDS: 2.2274
[07:39:43] Step 5535 | Total: 2.6196 | CDS: 2.3709
[07:39:58] Step 5540 | Total: 2.2935 | CDS: 2.0795
[07:40:13] Step 5545 | Total: 2.4780 | CDS: 2.3302
[07:40:28] Step 5550 | Total: 2.9714 | CDS: 2.7219
[07:40:29] 💾 Full checkpoint saved at Epoch 4, Step 5550, Batch 1159
